Full name (Model),Location,Bar code/RFID (Asset),Serial # (Asset),Quantity,System Host name,Record origination
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT DL580 G7 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC04/,6008791,3UI1347E3P,1,HP-580-VMSERVER-1.ENG.QPASS.NET,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT DL580 G7 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC04/,6008966,USE501J27H,1,DL580-G7-VMSERVER-2.ENG.QPASS.NET,Physical Inventory
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/BROCADE COMMUICATION SYSTEMS 5000 SWITCH/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC04/,6008782,6008782,1,6008782,Physical Inventory
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/BROCADE COMMUICATION SYSTEMS SILKWORM FC SWITCH/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC04/,6008597,6008597,1,,Physical Inventory
"/HARDWARE RACKS, CHASSIS AND ENCLOSURES/RACK ENCLOSURES/GENERIC SERVER RACK/",/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC04/,6065451,6065451,1,,Physical Inventory
"/HARDWARE RACKS, CHASSIS AND ENCLOSURES/RACK ENCLOSURES/GENERIC SERVER RACK/",/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC04/,6065452,6065452,1,,Physical Inventory
/HARDWARE STORAGE/DIRECT ATTACHED STORAGE (DAS)/HEWLETT-PACKARD COMPANY STORAGEWORKS MSA70/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC04/,6008612,6008612,1,6008612,Physical Inventory
/HARDWARE STORAGE/DIRECT ATTACHED STORAGE (DAS)/HEWLETT-PACKARD COMPANY STORAGEWORKS MSA70/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC04/,6008881,6008881,1,6008881,Physical Inventory
/HARDWARE STORAGE/DIRECT ATTACHED STORAGE (DAS)/HEWLETT-PACKARD COMPANY STORAGEWORKS MSA70/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC04/,6008885,6008885,1,6008885,Physical Inventory
/HARDWARE STORAGE/DIRECT ATTACHED STORAGE (DAS)/HEWLETT-PACKARD COMPANY STORAGEWORKS MSA70/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC04/,6008889,6008889,1,6008889,Physical Inventory
/HARDWARE STORAGE/DIRECT ATTACHED STORAGE (DAS)/HPE P2000 G3 FC 24X900GB SAS SFF BUNDLE (QR517B/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC04/,6008735,7CE436M594,1,HP-P2000-FILER-1A.ENG.QPASS.NET,Physical Inventory
/HARDWARE STORAGE/STORAGE AREA NETWORKS (SAN)/NETAPP FAS3140-R5/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC04/,6008705,30022243,1,6008705,Physical inventory
/HARDWARE STORAGE/STORAGE AREA NETWORKS (SAN)/NETAPP FAS3140-R5/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC04/,6008919,30022244,1,QPASS-SHARED-FILER-1A/B,Physical inventory
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R740 G10/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC05/,4741166,966MF33,1,4741166,Physical inventory
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R740 G10/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC05/,4741167,967JF33,1,4741167,Physical inventory
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R740 G10/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC05/,4741168,966LF33,1,4741168,Purchase order
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R740 G10/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC05/,4741169,967GF33,1,4741169,Purchase order
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R740 G10/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC05/,4741176,967FF33,1,4741176,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R740 G10/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC05/,4741177,967DF33,1,4741177,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R740 G10/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC05/,4741178,967HF33,1,4741178,Manual
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R740 G10/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC05/,4741179,967CF33,1,4741179,Physical inventory
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL585 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC09/,6010719,USE049N7G8,1,6010719,Manual
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL585 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC09/,6010721,USE121N0S6,1,6010721,Physical inventory
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT DL380 G9 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC09/,6010711,MXQ520063D,1,HP-380-VMSERVER-1,Purchase order
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT DL380 G9 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC09/,6010712,MXQ52502KH,1,HP-380-VMSERVER-2,Purchase order
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT DL380 G9 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC09/,6010716,MXQ52608PQ,1,HP-585-VMSERVER-1,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT DL580 G7 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC09/,6010720,3UI1350K5C,1,6010720,Physical Inventory
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/CISCO SYSTEMS CATALYST 3650 48 PORT SWITCH 4X10G UPLINK LAN BASE/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC09/,GT52578656,GT52578656,1,,Physical Inventory
"/HARDWARE RACKS, CHASSIS AND ENCLOSURES/RACK ENCLOSURES/GENERIC COMM RACK/",/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC09/,6063718,,1,,Physical Inventory
/HARDWARE STORAGE/DIRECT ATTACHED STORAGE (DAS)/HEWLETT-PACKARD COMPANY STORAGEWORKS MSA70/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC09/,6010735,7CE433P2V4,1,,Manual
/HARDWARE STORAGE/DIRECT ATTACHED STORAGE (DAS)/HEWLETT-PACKARD COMPANY STORAGEWORKS MSA70/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC09/,6010737,7CE433P1VS,1,,Physical Inventory
/HARDWARE STORAGE/DIRECT ATTACHED STORAGE (DAS)/HEWLETT-PACKARD COMPANY STORAGEWORKS MSA70/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC09/,6010741,7CE433P2NZ,1,,Physical Inventory
/HARDWARE STORAGE/DIRECT ATTACHED STORAGE (DAS)/HEWLETT-PACKARD COMPANY STORAGEWORKS MSA70/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC09/,6010745,7CE433P2VG,1,,Physical Inventory
/HARDWARE STORAGE/DIRECT ATTACHED STORAGE (DAS)/HPE P2000 G3 FC 24X900GB SAS SFF BUNDLE (QR517B/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC09/,6010722,286445B170,1,HP-585-VMSERVER-2,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL585 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC10/,6010740,MXQ22614D3,1,HP-VMSERVER-4,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT DL385 G7 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC10/,6010723,2M212501A8,1,,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT DL385 G7 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC10/,6010754,USE110N69Q,1,,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT DL385 G7 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC10/,6010758,USE110N69N,1,,Purchase order
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT DL580 G7 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC10/,6010739,3UI1350K5A,1,HPVMSERVER-1,Purchase order
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/BROCADE COMMUICATION SYSTEMS SILKWORM 4900/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC10/,6010715,UC060000836,1,HP-580-VMSERVER-2,Purchase order
"/HARDWARE RACKS, CHASSIS AND ENCLOSURES/RACK ENCLOSURES/GENERIC SERVER RACK/",/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC10/,6063717,6063717,1,,PHYSICAL INVENTORY
/HARDWARE ACCESSORIES/SERVER HARD DISKS/GENERIC 600GB HDD/,/PUBLIC LOCATION/APAC/DATA CENTER/AUS MELBOURN AAPL.DC/,,,1,,Physical inventory
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R730 SERVER/,/PUBLIC LOCATION/APAC/DATA CENTER/AUS MELBOURN AAPL.DC/,5110645,7FV4V72,1,PD-PERF-OLTP-LIN-2,Physical inventory
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/DELL CONNECTRIX DS-300B/,/PUBLIC LOCATION/APAC/DATA CENTER/AUS MELBOURN AAPL.DC/,5110358,BRCALJ1905K072,1,MELUTIBASANSW2,PHYSICAL INVENTORY
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/DELL CONNECTRIX DS-300B/,/PUBLIC LOCATION/APAC/DATA CENTER/AUS MELBOURN AAPL.DC/,5110359,BRCALJ1905K073,1,MELUTIBASANSW1,Manual
/HARDWARE STORAGE/NETWORK ATTACHED STORAGE (NAS)/EMC VNX5400/,/PUBLIC LOCATION/APAC/DATA CENTER/AUS MELBOURN AAPL.DC/,5110357,CETV2135000010,1,MEL-VNX5400-0010,Physical inventory
